33396,24316,190068
53380,52380,349896
70540,79136,376660
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
71148,89640,517976
90124,115376,609120
115724,166848,791408
124700,166848,791408
159012,218320,973696
176168,244056,1064840
193328,269792,1155984
222624,321264,1338272
227640,321264,1338272
261952,372736,1520560
279376,390148,1537972
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279376,391172,1538996
279640,391172,1538996
279640,391172,1538996
279640,391172,1538996
279640,391172,1538996
279640,391172,1538996
279640,391172,1538996
