34516,24364,187840
56844,55348,350176
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
70872,92756,518404
73700,118492,609548
75276,169964,791836
76064,195700,882980
77640,247172,1065268
78432,272908,1156412
80008,324380,1338700
81584,375852,1520988
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,393264,1538400
82640,394288,1539424
82640,394288,1539424
82640,394288,1539424
82640,394288,1539424
82640,394288,1539424
82640,394288,1539424
82640,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
82904,394288,1539424
